duration,max memory,init duration,lang
3033.7,101,700.45,csharp
112.31,102,,csharp
71.29,102,,csharp
2954.69,101,674.97,csharp
108.49,102,,csharp
67.94,102,,csharp
3087.32,102,716.91,csharp
130.78,102,,csharp
88.52,102,,csharp
3129.08,102,708.32,csharp
111.53,102,,csharp
47.58,103,,csharp
3019.75,101,714.11,csharp
109.72,102,,csharp
47.49,102,,csharp
2989.6,101,700.39,csharp
125.71,102,,csharp
50.15,102,,csharp
3001.04,101,679.92,csharp
110.59,101,,csharp
350.38,102,,csharp
3051.84,101,707.54,csharp
105.41,102,,csharp
84.65,102,,csharp
3111.92,101,741.52,csharp
108.28,102,,csharp
150.43,102,,csharp
3041.83,101,758.92,csharp
140.6,102,,csharp
73.43,102,,csharp
3066.39,101,701.44,csharp
128.65,102,,csharp
53.73,102,,csharp
3034.01,101,684.15,csharp
111.18,102,,csharp
149.36,102,,csharp
3042.15,101,695.93,csharp
125.68,102,,csharp
106.86,102,,csharp
2957.28,102,688.75,csharp
104.14,102,,csharp
169.82,102,,csharp
3048.35,101,699.99,csharp
111.65,102,,csharp
48.72,102,,csharp
3006.12,101,703.57,csharp
107.13,102,,csharp
49.56,102,,csharp
2952.81,101,680.9,csharp
124.39,102,,csharp
65.96,102,,csharp
3018.78,101,705.65,csharp
123.36,102,,csharp
50.68,102,,csharp
3090.47,101,700.22,csharp
114.46,101,,csharp
50.3,102,,csharp
2775.14,101,659.2,csharp
106.87,102,,csharp
50.24,102,,csharp
2874.69,101,671.08,csharp
121.26,101,,csharp
68.24,102,,csharp
2967.54,101,682.47,csharp
109.32,102,,csharp
210.39,102,,csharp
3075.94,101,693.54,csharp
144.28,102,,csharp
108.24,103,,csharp
3041.63,101,704.11,csharp
112.46,101,,csharp
50.14,102,,csharp
3021.89,101,676.0,csharp
106.83,102,,csharp
46.06,102,,csharp
3091.23,101,710.11,csharp
129.49,101,,csharp
109.49,102,,csharp
3043.58,101,710.31,csharp
119.38,102,,csharp
107.24,102,,csharp
2925.15,102,704.92,csharp
126.61,102,,csharp
105.35,103,,csharp
3027.88,101,712.85,csharp
128.2,101,,csharp
69.01,102,,csharp
2962.35,101,680.01,csharp
110.61,102,,csharp
49.08,102,,csharp
3069.74,101,712.93,csharp
110.49,102,,csharp
68.27,102,,csharp
2932.77,101,724.95,csharp
152.22,102,,csharp
171.41,102,,csharp
2990.03,101,747.68,csharp
149.82,102,,csharp
50.06,102,,csharp
3417.41,101,747.95,csharp
111.44,102,,csharp
68.65,102,,csharp
3139.26,101,717.63,csharp
108.53,102,,csharp
46.72,102,,csharp
3028.18,102,721.21,csharp
133.37,102,,csharp
49.3,103,,csharp
3096.8,101,720.53,csharp
135.23,102,,csharp
113.82,102,,csharp
2950.92,101,728.49,csharp
126.31,101,,csharp
51.11,102,,csharp
3052.11,101,705.82,csharp
130.73,102,,csharp
